fpr,tpr,threshold
0.0,0.0,1.95
0.0,2.7216068366763736e-05,0.95
1.5190388737238175e-06,2.7216068366763736e-05,0.9
6.07615549489527e-06,5.443213673352747e-05,0.87
9.114233242342904e-06,5.443213673352747e-05,0.86
1.6709427610961992e-05,0.00010886427346705494,0.85
2.2785583105857263e-05,0.0001360803418338187,0.84
2.430462197958108e-05,0.0004082410255014561,0.83
3.038077747447635e-05,0.0006531856408023297,0.82
3.49378940956478e-05,0.0007620499142693847,0.81
3.949501071681925e-05,0.0010069945295702583,0.8
4.405212733799071e-05,0.0012247230765043682,0.79
5.7723477201505067e-05,0.0015240998285387694,0.78
6.683771044384797e-05,0.001660180170372588,0.77
8.65852158022576e-05,0.0020956372642408076,0.76
8.962329354970523e-05,0.0024766622213755,0.75
0.0001048136822869434,0.0029393353836104836,0.74
0.00012608022651907684,0.003538088887679286,0.73
0.00015190388737238174,0.004055194186647797,0.72
0.00017013235385706757,0.004708379827450126,0.71
0.00018987985921547717,0.005225485126418638,0.7
0.00022177967556367734,0.0058514546988542035,0.69
0.00024912237529070607,0.006804017091690934,0.68
0.0002795031527651824,0.0076204991426938465,0.67
0.00030532681361848733,0.008681925808997633,0.66
0.0003311504744717922,0.009879432817135237,0.65
0.00036001221307254474,0.01099529162017255,0.64
0.000399507223789364,0.012437743243611028,0.63
0.00042836896239011654,0.013716898456848923,0.62
0.00046634493423321194,0.015159350080287402,0.61
0.0005028018672025836,0.016574585635359115,0.6
0.0005498920722880219,0.018234765805731704,0.59
0.0005969822773734603,0.019541137087336364,0.58
0.0006334392103428319,0.02147347794137659,0.57
0.0006714151821859273,0.02389570802601856,0.56
0.0007215434650188133,0.026154641700459953,0.55
0.0007716717478516992,0.028821816400402798,0.54
0.00081572387518969,0.03167950357891299,0.53
0.0008552188859065092,0.0349726478512914,0.52
0.0009129423631080143,0.038565168875704214,0.51
0.0009661087236883479,0.042429850583784665,0.5
0.001032946434132196,0.04624010015513159,0.49
0.0011043412611972153,0.05010478186321204,0.48
0.0012197882156002255,0.05391503143455896,0.47
0.0013094115091499307,0.05780692921100618,0.46
0.001423339424679217,0.061481098440519286,0.45
0.0015266340680924367,0.06572680510573442,0.44
0.0016466381391166181,0.0703263206597175,0.43
0.001789427793246657,0.07541572544430232,0.42
0.0019109509031445624,0.08001524099828539,0.41
0.0020339930519161914,0.0854040225349046,0.4
0.002157035200687821,0.09130990937049234,0.39
0.0023195723601762692,0.09691641945404567,0.38
0.002477552403043546,0.10317611517840133,0.37
0.0026674322622590235,0.11014342868029285,0.36
0.0029059213654336626,0.11746455107095229,0.35
0.0031489675852294737,0.1248128895299785,0.34
0.0034254326602472084,0.13183463516860355,0.33
0.0037763306400774104,0.14016275208883325,0.32
0.004156090358508365,0.14955229567536674,0.31
0.004557116621171453,0.15872411071496612,0.3
0.005037132905268179,0.1689573524208693,0.29
0.005597658249672267,0.17913616199003893,0.28
0.0062873018983428805,0.18874343412350653,0.27
0.007014921518856589,0.1990311079661432,0.26
0.00787925463800544,0.20980867103938164,0.25
0.008983595899202657,0.2221647660778924,0.24
0.010118317937874348,0.23593609667147483,0.23
0.01140798194166587,0.24924475410282232,0.22
0.01288904484354659,0.2622540347821354,0.21
0.014669358403550905,0.2748278583675802,0.2
0.016735251271815296,0.289252374601965,0.19
0.01921887983035374,0.30563644775875676,0.18
0.02198049250278364,0.3224559780094168,0.17
0.025179588370846,0.34213319543858695,0.16
0.029086556354063656,0.3624908145769262,0.15
0.03372570107441619,0.38249462482649754,0.14
0.03946766801709223,0.406063740032115,0.13
0.046488665691443706,0.43278991916827697,0.12
0.055492009096004775,0.4603870124921754,0.11
0.0661632571839146,0.49291021419045805,0.1
0.07944725213462937,0.5291892333233541,0.09
0.09652124907528509,0.571129194676537,0.08
0.11845313233410956,0.616743325259233,0.07
0.14680599291216462,0.666739242848978,0.06
0.18423966787734064,0.7210080831723049,0.05
0.23513050822483597,0.7764472144354027,0.04
0.3061987419320048,0.8389353074054922,0.03
0.41369960398656563,0.8990556024276734,0.02
0.5974668507741782,0.9569441798437798,0.01
1.0,1.0,0.0
